Index,Version ID,Version Name,Date
1,12312115,M1,2006-12-01T00:00
2,12312116,M2,2007-12-02T00:00
3,12312720,M2.1,2008-05-14T00:00
4,12312117,M3,2008-10-01T00:00
5,12313279,M4,2009-01-22T00:00
6,12313597,0.5,2009-05-25T00:00
7,12313728,0.6,2010-03-24T00:00
8,12315477,0.8,2010-12-04T00:00
9,12316273,0.10,2011-04-29T00:00
10,12316848,0.12,2011-08-24T00:00
11,12317862,JIRA Cleanup,2011-09-05T00:00
12,12316855,0.14,2012-01-26T00:00
13,12319870,0.16,2012-05-19T00:00
14,12322451,0.18,2012-08-29T00:00
15,12323548,0.20,2013-01-23T00:00
16,12324272,0.22,2013-06-13T00:00
17,12324776,0.24,2013-09-07T00:00
18,12325589,0.26,2014-02-19T00:00
19,12326515,0.28,2014-06-03T00:00
20,12327563,0.30,2014-09-26T00:00
21,12329478,0.32,2015-02-19T00:00
22,12332789,qpid-cpp-0.34,2015-06-29T00:00
23,12329493,qpid-java-6.0,2015-12-09T00:00
24,12334626,qpid-java-6.0.1,2016-02-26T00:00
25,12334927,qpid-java-6.0.2,2016-04-19T00:00
26,12335598,qpid-java-6.0.3,2016-05-27T00:00
27,12335754,qpid-java-6.0.4,2016-07-01T00:00
28,12337954,qpid-cpp-1.35.0,2016-09-01T00:00
29,12337955,qpid-python-1.35.0,2016-09-26T00:00
30,12337441,qpid-java-6.0.5,2016-11-01T00:00
31,12334210,qpid-java-6.1,2016-11-16T00:00
32,12338222,qpid-cpp-1.36.0,2016-12-13T00:00
33,12338707,qpid-java-6.1.1,2016-12-28T00:00
34,12338103,qpid-python-1.36.0,2017-03-14T00:00
35,12338962,qpid-java-6.1.2,2017-03-22T00:00
36,12340253,qpid-java-6.1.3,2017-06-01T00:00
37,12340627,qpid-java-6.1.4,2017-06-29T00:00
38,12335599,qpid-java-broker-7.0.0,2017-11-14T00:00
39,12340994,qpid-java-6.1.5,2017-11-22T00:00
40,12338808,qpid-cpp-1.37.0,2017-11-24T00:00
41,12339780,qpid-python-1.37.0,2017-11-25T00:00
42,12342094,qpid-java-broker-7.0.1,2018-02-07T00:00
43,12342782,qpid-java-broker-7.0.2,2018-03-04T00:00
44,12340228,qpid-cpp-1.38.0,2018-03-28T00:00
45,12342887,qpid-java-broker-7.0.3,2018-04-04T00:00
46,12342207,qpid-java-client-0-x-6.3.1,2018-05-20T00:00
47,12343040,qpid-java-broker-7.0.4,2018-06-02T00:00
48,12343398,qpid-java-broker-7.0.5,2018-06-16T00:00
49,12343434,qpid-java-broker-7.0.6,2018-06-23T00:00
50,12343485,qpid-java-client-0-x-6.3.2,2018-07-19T00:00
51,12343821,qpid-java-client-0-x-6.3.3,2018-08-20T00:00
52,12343003,qpid-java-6.1.7,2018-09-03T00:00
53,12342978,qpid-cpp-1.39.0,2018-10-27T00:00
54,12338931,qpid-java-broker-7.1.0,2019-01-05T00:00
55,12344881,qpid-java-broker-7.1.1,2019-03-01T00:00
56,12345042,qpid-java-broker-7.1.2,2019-04-05T00:00
57,12345357,qpid-java-broker-7.1.3,2019-05-14T00:00
58,12345142,qpid-java-client-0-x-6.3.4,2019-05-20T00:00
59,12345532,qpid-java-broker-7.1.4,2019-07-09T00:00
60,12345734,qpid-java-broker-7.1.5,2019-10-15T00:00
61,12346457,qpid-java-broker-7.1.6,2019-12-06T00:00
62,12346660,qpid-java-broker-7.1.7,2020-01-15T00:00
63,12346892,qpid-java-broker-7.1.8,2020-02-14T00:00
64,12344778,qpid-java-broker-8.0.0,2020-03-12T00:00
65,12345722,qpid-java-broker-7.0.9,2020-04-10T00:00
